Date,Open,High,Low,Close
08/07/2023,"351.26","354.97","351.26","354.73"
08/04/2023,"352.30","355.07","350.34","350.66"
08/03/2023,"351.95","353.48","351.22","352.16"
08/02/2023,"355.52","355.52","352.26","352.83"
08/01/2023,"355.86","356.79","355.27","356.31"
07/31/2023,"354.66","355.67","354.30","355.60"
07/28/2023,"354.43","355.66","353.55","354.59"
07/27/2023,"355.59","356.45","352.17","352.83"
07/26/2023,"353.46","356.34","353.06","355.20"
07/25/2023,"354.21","355.28","353.65","354.38"
07/24/2023,"352.31","354.64","352.31","354.11"
07/21/2023,"352.74","353.41","351.86","352.28"
07/20/2023,"350.92","353.73","350.92","352.25"
07/19/2023,"349.91","352.34","349.91","350.61"
07/18/2023,"345.97","349.86","345.31","349.52"
07/17/2023,"345.00","346.65","344.19","345.85"
07/14/2023,"344.25","345.92","344.25","345.09"
07/13/2023,"344.12","344.82","343.65","343.95"
07/12/2023,"343.95","345.87","343.09","343.47"
07/11/2023,"340.57","342.89","339.93","342.61"
07/10/2023,"337.06","339.58","337.06","339.44"
07/07/2023,"338.37","340.36","337.17","337.35"
07/06/2023,"341.71","341.71","337.71","339.22"
07/05/2023,"343.45","343.76","342.27","342.89"
07/04/2023,"343.70","344.66","342.87","344.18"
07/03/2023,"343.70","344.66","342.87","344.18"
06/30/2023,"342.70","344.67","342.70","344.08"
06/29/2023,"338.55","341.48","338.29","341.22"
06/28/2023,"338.81","339.04","337.56","338.53"
06/27/2023,"337.39","339.76","337.30","339.27"
06/26/2023,"337.31","338.19","336.10","337.15"
06/23/2023,"338.36","338.36","336.46","337.27"
06/22/2023,"339.00","340.04","338.35","339.47"
06/21/2023,"339.91","340.98","338.76","339.52"
06/20/2023,"342.07","342.07","339.16","340.54"
06/19/2023,"344.64","345.89","342.86","342.99"
06/16/2023,"344.64","345.89","342.86","342.99"
06/15/2023,"339.46","344.89","339.46","344.08"
06/14/2023,"340.45","341.51","337.84","339.79"
06/13/2023,"341.11","343.10","341.08","342.12"
06/12/2023,"339.07","340.78","338.78","340.66"
06/09/2023,"338.52","339.75","337.87","338.77"
06/08/2023,"336.57","338.74","336.30","338.34"
06/07/2023,"335.62","337.09","335.46","336.65"
06/06/2023,"335.48","336.31","334.00","335.73"
06/05/2023,"337.71","338.04","335.53","335.63"
06/02/2023,"331.88","338.05","331.88","337.63"
06/01/2023,"329.30","331.68","327.05","330.62"
05/31/2023,"329.49","329.85","327.40","329.08"
05/30/2023,"331.04","331.33","328.94","330.43"
05/29/2023,"327.96","331.62","327.96","330.93"
05/26/2023,"327.96","331.62","327.96","330.93"
05/25/2023,"328.54","328.70","325.87","327.65"
05/24/2023,"330.22","330.32","327.52","328.00"
05/23/2023,"331.91","333.10","330.13","330.56"
05/22/2023,"334.09","335.12","332.08","332.87"
05/19/2023,"335.83","336.53","333.37","334.27"
05/18/2023,"333.75","335.80","332.12","335.36"
05/17/2023,"330.92","334.72","330.50","334.21"
05/16/2023,"332.75","332.91","330.06","330.12"
05/15/2023,"333.21","334.00","331.62","333.49"
05/12/2023,"333.71","334.06","331.11","333.01"
05/11/2023,"333.84","333.90","331.28","333.10"
05/10/2023,"337.07","337.72","332.39","335.31"
05/09/2023,"335.90","336.56","335.10","335.62"
05/08/2023,"337.15","337.47","335.09","336.19"
05/05/2023,"332.49","337.48","332.49","336.74"
05/04/2023,"333.48","333.55","329.38","331.28"
05/03/2023,"337.27","338.12","333.96","334.14"
05/02/2023,"340.18","340.18","334.37","336.85"
05/01/2023,"341.17","342.58","340.30","340.52"
04/28/2023,"337.97","341.05","337.28","340.98"
